100,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Y,20160101,,,
101,2,Jumanji (1995),Adventure|Children|Fantasy,Y,20160101,,,
102,3,Grumpier Old Men (1995),Comedy|Romance,Y,20160101,,,
103,4,Waiting to Exhale (1995),Comedy|Drama|Romance,Y,20160101,,,
104,5,Father of the Bride Part II (1995),Comedy,Y,20160101,,,
105,6,Heat (1995),Action|Crime|Thriller,Y,20160101,,,
106,7,Sabrina (1995),Comedy|Romance,Y,20160101,,,
107,8,Tom and Huck (1995),Adventure|Children,Y,20160101,,,
108,9,Sudden Death (1995),Action,Y,20160101,,,
109,10,GoldenEye (1995),Action|Adventure|Thriller,Y,20160101,,,
110,11,"American President, The (1995)",Comedy|Drama|Romance,Y,20160101,,,
111,12,Dracula: Dead and Loving It (1995),Comedy|Horror,Y,20160101,,,
112,13,Balto (1995),Adventure|Animation|Children,Y,20160101,,,
113,14,Nixon (1995),Drama,Y,20160101,,,
114,15,Cutthroat Island (1995),Action|Adventure|Romance,Y,20160101,,,
115,16,Casino (1995),Crime|Drama,Y,20160101,,,
116,17,Sense and Sensibility (1995,Drama|Romance,Y,20160101,,,
